Episode Number,Epsilon Value,Learn Step Counter,Total Reward
469,0.961717765050924,156137,231.0
470,0.9615997214255675,156628,703.0
471,0.9612668251163645,158013,1099.0
472,0.9611043847291919,158689,708.0
473,0.9609434132063491,159359,637.0
474,0.960907858953369,159507,638.0
475,0.9608992108204729,159543,230.0
476,0.960875428856332,159642,610.0
477,0.9607646943304986,160103,751.0
478,0.9607442782951104,160188,617.0
479,0.9606578151901417,160548,1002.0
480,0.9606376415853216,160632,609.0
481,0.9606285155699332,160670,240.0
482,0.9605504676640155,160995,700.0
483,0.9602265765974652,162344,574.0
484,0.9602181746506271,162379,245.0
485,0.9601065557618299,162844,704.0
486,0.9600979148406311,162880,242.0
487,0.9600815933127695,162948,622.0
488,0.9599920698670855,163321,708.0
489,0.959971430256877,163407,615.0
490,0.9598296049379115,163998,951.0
491,0.9597664982081452,164261,791.0
492,0.9597585801662061,164294,250.0
493,0.9597497024392881,164331,234.0
494,0.959605031058421,164934,950.0
495,0.9595464969295102,165178,795.0
496,0.9593646800732806,165936,671.0
497,0.9593253469228105,166100,607.0
498,0.9592910516503977,166243,613.0
499,0.9590634868158596,167192,1273.0
